Country,Year,Records
COTE D'IVOIRE,2018,14
CUBA,2018,0
EGYPT,2018,0
EL SALVADOR,2018,725
ERITREA,2018,1269
ETHIOPIA,2018,376
GAMBIA,2018,0
GEORGIA,2018,0
GUATEMALA,2018,42
GUINEA,2018,10
HAITI,2018,0
HONDURAS,2018,59
IRAN,2018,41
IRAQ,2018,140
JORDAN,2018,0
KAZAKHSTAN,2018,47
KENYA,2018,3
"KOREA, NORTH",2018,5
KUWAIT,2018,0
KYRGYZSTAN,2018,12
LAOS,2018,0
LIBERIA,2018,6
MAURITANIA,2018,0
MOLDOVA,2018,207
NEPAL,2018,12
PAKISTAN,2018,441
RUSSIA,2018,437
RWANDA,2018,110
SENEGAL,2018,14
SIERRA LEONE,2018,0
SOMALIA,2018,257
SOUTH SUDAN,2018,13
SRI LANKA,2018,56
SUDAN,2018,76
SYRIA,2018,62
TAJIKISTAN,2018,0
TOGO,2018,0
TURKMENISTAN,2018,5
UGANDA,2018,42
UKRAINE,2018,2635
UZBEKISTAN,2018,27
VIETNAM,2018,10
YEMEN,2018,0
ZIMBABWE,2018,13
AFGHANISTAN,2019,1198
ARMENIA,2019,33
AZERBAIJAN,2019,0
BELARUS,2019,96
BHUTAN,2019,32
BURMA,2019,4932
BURUNDI,2019,196
CAMBODIA,2019,0
CAMEROON,2019,28
CENTRAL AFRICAN REPUBLIC,2019,244
CHAD,2019,8
"CHINA, PEOPLE'S REPUBLIC",2019,0
COLOMBIA,2019,298
"CONGO, DEMOCRATIC REPUBLIC",2019,12958
"CONGO, REPUBLIC",2019,3
COTE D'IVOIRE,2019,62
CUBA,2019,0
EGYPT,2019,4
EL SALVADOR,2019,311
ERITREA,2019,1757
ETHIOPIA,2019,247
GAMBIA,2019,0
GEORGIA,2019,26
GUATEMALA,2019,118
GUINEA,2019,10
HAITI,2019,0
HONDURAS,2019,74
IRAN,2019,199
IRAQ,2019,465
JORDAN,2019,5
KAZAKHSTAN,2019,8
KENYA,2019,17
"KOREA, NORTH",2019,0
KUWAIT,2019,0
KYRGYZSTAN,2019,46
LAOS,2019,0
LIBERIA,2019,37
MAURITANIA,2019,0
MOLDOVA,2019,120
NEPAL,2019,13
PAKISTAN,2019,264
RUSSIA,2019,184
RWANDA,2019,91
SENEGAL,2019,14
SIERRA LEONE,2019,0
SOMALIA,2019,231
SOUTH SUDAN,2019,42
SRI LANKA,2019,17
SUDAN,2019,382
SYRIA,2019,563
TAJIKISTAN,2019,0
TOGO,2019,0
TURKMENISTAN,2019,18
UGANDA,2019,24
UKRAINE,2019,4451
UZBEKISTAN,2019,12
VIETNAM,2019,10
YEMEN,2019,3
ZIMBABWE,2019,0
